last update: Sat Apr 30 2016 23:37:31 GMT+0800 (HKT)

order	team	score	std
0	[973]	1015	100
1	[2451]	865	82
2	[254]	861	82
3	[1519]	851	80
4	[195]	848	80
5	[1718]	844	80
6	[2590]	828	78
7	[694]	826	78
8	[1241]	806	75
9	[1918]	806	75
10	[2122]	796	74
11	[330]	782	72
12	[217]	781	72
13	[1678]	780	72
14	[148]	778	72
15	[3546]	778	72
16	[2052]	776	72
17	[5172]	772	71
18	[2481]	766	70
19	[230]	764	70
20	[2056]	752	69
21	[133]	749	68
22	[179]	748	68
23	[4678]	746	68
24	[67]	743	68
25	[3620]	743	68
26	[610]	742	68
27	[5460]	738	67
28	[1425]	733	66
29	[708]	732	66
30	[2823]	730	66
31	[4564]	730	66
32	[3683]	730	66
33	[3476]	729	66
34	[294]	728	66
35	[1690]	727	66
36	[225]	727	66
37	[5895]	724	65
38	[2137]	719	65
39	[1806]	718	65
40	[166]	715	64
41	[1731]	714	64
42	[341]	713	64
43	[1501]	711	64
44	[365]	708	63
45	[971]	707	63
46	[1024]	700	63
47	[3641]	697	62
48	[868]	696	62
49	[27]	696	62
50	[3357]	696	62
51	[876]	696	62
52	[118]	695	62
53	[525]	692	62
54	[3538]	692	62
55	[85]	691	61
56	[379]	685	61
57	[2013]	685	61
58	[33]	684	61
59	[1619]	682	60
60	[3005]	680	60
61	[558]	679	60
62	[987]	679	60
63	[364]	679	60
64	[5406]	678	60
65	[2557]	677	60
66	[25]	677	60
67	[16]	673	59
68	[1261]	669	59
69	[3339]	668	59
70	[4334]	665	58
71	[1305]	663	58
72	[3618]	661	58
73	[2834]	659	58
74	[1257]	658	58
75	[494]	657	57
76	[3015]	656	57
77	[120]	654	57
78	[5150]	654	57
79	[4003]	651	57
80	[1323]	650	57
81	[4001]	649	56
82	[3481]	649	56
83	[1986]	648	56
84	[4028]	647	56
85	[639]	646	56
86	[125]	643	56
87	[4561]	643	56
88	[5803]	642	56
89	[2767]	636	55
90	[333]	635	55
91	[360]	634	55
92	[175]	634	55
93	[4587]	632	54
94	[842]	631	54
95	[3937]	629	54
96	[1114]	628	54
97	[1089]	628	54
98	[3238]	628	54
99	[910]	626	54
100	[4967]	625	54
101	[5546]	623	53
102	[2614]	623	53
103	[4488]	622	53
104	[1756]	622	53
105	[1736]	621	53
106	[3990]	620	53
107	[1418]	620	53
108	[346]	619	53
109	[4451]	619	53
110	[2474]	619	53
111	[1640]	619	53
112	[359]	619	53
113	[3314]	618	53
114	[319]	617	53
115	[2194]	617	53
116	[41]	616	53
117	[1538]	615	52
118	[2648]	614	52
119	[3284]	614	52
120	[1885]	614	52
121	[5813]	613	52
122	[1023]	613	52
123	[2522]	613	52
124	[1197]	612	52
125	[5050]	610	52
126	[3663]	609	52
127	[4613]	608	52
128	[2637]	608	52
129	[20]	608	52
130	[48]	606	51
131	[2471]	606	51
132	[3130]	605	51
133	[3044]	604	51
134	[2064]	602	51
135	[70]	602	51
136	[2485]	600	51
137	[176]	600	51
138	[5448]	599	51
139	[503]	599	51
140	[3478]	599	51
141	[2502]	599	51
142	[4391]	599	51
143	[122]	598	50
144	[5499]	597	50
145	[229]	596	50
146	[4103]	596	50
147	[135]	596	50
148	[3309]	595	50
149	[3539]	594	50
150	[1058]	594	50
151	[2035]	593	50
152	[1011]	591	50
153	[303]	590	49
154	[5114]	589	49
155	[2054]	589	49
156	[1747]	589	49
157	[686]	588	49
158	[3360]	587	49
159	[573]	586	49
160	[548]	586	49
161	[177]	586	49
162	[1768]	585	49
163	[172]	584	49
164	[869]	582	49
165	[1137]	582	49
166	[5663]	581	48
167	[4039]	580	48
168	[231]	580	48
169	[2046]	579	48
170	[2438]	578	48
171	[5254]	578	48
172	[2067]	578	48
173	[1625]	577	48
174	[126]	577	48
175	[1684]	576	48
176	[1099]	576	48
177	[329]	575	48
178	[5437]	575	48
179	[2771]	575	48
180	[78]	574	48
181	[4256]	573	47
182	[228]	573	47
183	[2439]	570	47
184	[4253]	570	47
185	[1262]	570	47
186	[3419]	570	47
187	[3352]	567	47
188	[1712]	567	47
189	[1983]	566	47
190	[3574]	566	47
191	[1143]	566	47
192	[4276]	565	46
193	[1987]	564	46
194	[461]	564	46
195	[233]	564	46
196	[1477]	564	46
197	[2783]	564	46
198	[245]	563	46
199	[1540]	563	46
200	[858]	562	46
201	[3534]	562	46
202	[180]	562	46
203	[2655]	561	46
204	[2393]	560	46
205	[5326]	560	46
206	[3042]	558	46
207	[207]	558	46
208	[3970]	558	46
209	[1676]	557	46
210	[4469]	557	46
211	[2147]	557	46
212	[74]	556	45
213	[4362]	556	45
214	[1124]	556	45
215	[5166]	556	45
216	[4242]	555	45
217	[4085]	555	45
218	[1710]	555	45
219	[3536]	555	45
220	[45]	555	45
221	[3847]	554	45
222	[2403]	553	45
223	[3245]	553	45
224	[3166]	552	45
225	[321]	552	45
226	[3824]	552	45
227	[1481]	551	45
228	[5618]	551	45
229	[2881]	550	45
230	[4122]	549	45
231	[4264]	548	44
232	[5907]	548	44
233	[2996]	548	44
234	[2586]	547	44
235	[263]	546	44
236	[2486]	546	44
237	[6153]	546	44
238	[57]	546	44
239	[3504]	545	44
240	[3098]	545	44
241	[834]	545	44
242	[5878]	545	44
243	[3310]	545	44
244	[4009]	545	44
245	[904]	545	44
246	[1391]	544	44
247	[272]	543	44
248	[295]	543	44
249	[2175]	543	44
250	[1250]	543	44
251	[870]	543	44
252	[1675]	542	44
253	[1086]	541	44
254	[4468]	541	44
255	[1746]	541	44
256	[3932]	540	44
257	[1306]	539	43
258	[5801]	539	43
259	[2338]	539	43
260	[384]	538	43
261	[4063]	538	43
262	[1662]	537	43
263	[4550]	537	43
264	[4384]	537	43
265	[4329]	537	43
266	[2883]	537	43
267	[5167]	536	43
268	[5048]	536	43
269	[5472]	536	43
270	[6098]	536	43
271	[2974]	535	43
272	[2990]	535	43
273	[191]	535	43
274	[999]	535	43
275	[4241]	535	43
276	[6167]	535	43
277	[3452]	534	43
278	[5914]	532	43
279	[1796]	531	42
280	[4131]	531	42
281	[5933]	531	42
282	[2619]	531	42
283	[1153]	530	42
284	[111]	530	42
285	[6166]	530	42
286	[4499]	529	42
287	[3604]	529	42
288	[4060]	527	42
289	[2987]	527	42
290	[5832]	527	42
291	[4920]	527	42
292	[123]	527	42
293	[1533]	527	42
294	[1730]	527	42
295	[4905]	526	42
296	[3234]	526	42
297	[2081]	526	42
298	[1310]	526	42
299	[401]	526	42
300	[2468]	525	42
301	[6086]	525	42
302	[2445]	525	42
303	[5016]	525	42
304	[2337]	524	42
305	[6025]	524	42
306	[1065]	523	41
307	[2846]	523	41
308	[5199]	523	41
309	[4911]	521	41
310	[1836]	521	41
311	[5913]	520	41
312	[5518]	520	41
313	[193]	520	41
314	[5279]	519	41
315	[5818]	519	41
316	[4525]	518	41
317	[3147]	518	41
318	[60]	518	41
319	[4180]	518	41
320	[4290]	517	41
321	[1318]	517	41
322	[5124]	516	41
323	[3770]	516	41
324	[2363]	516	41
325	[1258]	516	41
326	[181]	516	41
327	[1559]	515	41
328	[5980]	515	41
329	[3688]	515	41
330	[2415]	515	41
331	[4183]	515	41
332	[5842]	515	41
333	[3602]	515	41
334	[3128]	514	40
335	[2383]	514	40
336	[4377]	514	40
337	[5851]	514	40
338	[6221]	514	40
339	[3211]	513	40
340	[4330]	513	40
341	[5030]	513	40
342	[2733]	512	40
343	[4216]	512	40
344	[6035]	512	40
345	[107]	512	40
346	[423]	512	40
347	[1296]	511	40
348	[5039]	511	40
349	[5098]	510	40
350	[6144]	509	40
351	[1529]	508	40
352	[4146]	507	40
353	[5712]	507	40
354	[1775]	507	40
355	[5830]	507	40
356	[1511]	507	40
357	[5624]	506	39
358	[5404]	506	39
