last update: Sat Apr 30 2016 06:25:33 GMT+0800 (HKT)

order	team	score	std
0	[973]	855	100
1	[2451]	785	90
2	[195]	754	85
3	[1519]	752	85
4	[254]	747	84
5	[230]	741	83
6	[3620]	737	83
7	[118]	734	82
8	[133]	729	81
9	[2823]	720	80
10	[5172]	714	79
11	[1241]	710	79
12	[148]	702	78
13	[27]	702	78
14	[971]	699	77
15	[179]	687	75
16	[1678]	682	75
17	[225]	682	75
18	[4003]	675	74
19	[166]	673	73
20	[16]	673	73
21	[1024]	670	73
22	[1690]	667	72
23	[1806]	666	72
24	[217]	663	72
25	[708]	662	72
26	[2056]	662	72
27	[610]	658	71
28	[1425]	658	71
29	[294]	654	70
30	[67]	651	70
31	[1918]	651	70
32	[868]	650	70
33	[3538]	650	70
34	[5546]	650	70
35	[360]	646	69
36	[1736]	645	69
37	[33]	644	69
38	[1731]	644	69
39	[4561]	643	69
40	[4564]	640	68
41	[4678]	640	68
42	[694]	639	68
43	[3641]	639	68
44	[359]	639	68
45	[48]	639	68
46	[2052]	637	68
47	[2767]	636	68
48	[2035]	635	68
49	[2122]	633	67
50	[1718]	633	67
51	[4334]	631	67
52	[1305]	627	67
53	[330]	626	66
54	[3314]	626	66
55	[3683]	625	66
56	[558]	624	66
57	[1418]	623	66
58	[4103]	623	66
59	[2834]	623	66
60	[5895]	622	66
61	[1501]	621	66
62	[5150]	620	65
63	[3238]	616	65
64	[41]	616	65
65	[1538]	615	65
66	[1885]	614	65
67	[1323]	614	65
68	[1114]	612	64
69	[2557]	611	64
70	[172]	611	64
71	[876]	610	64
72	[4587]	610	64
73	[3663]	609	64
74	[2590]	609	64
75	[2013]	609	64
76	[2137]	609	64
77	[25]	609	64
78	[20]	608	64
79	[2637]	608	64
80	[842]	607	64
81	[1747]	607	64
82	[3284]	606	63
83	[2471]	606	63
84	[3476]	605	63
85	[4451]	605	63
86	[3130]	605	63
87	[3044]	604	63
88	[4488]	602	63
89	[2481]	602	63
90	[910]	600	63
91	[2485]	600	63
92	[4391]	599	62
93	[5406]	598	62
94	[5813]	597	62
95	[869]	597	62
96	[2438]	596	62
97	[3990]	596	62
98	[229]	596	62
99	[2614]	595	62
100	[3309]	595	62
101	[2522]	595	62
102	[3618]	594	62
103	[5499]	593	62
104	[5114]	592	61
105	[1768]	591	61
106	[346]	591	61
107	[176]	591	61
108	[4001]	590	61
109	[4613]	590	61
110	[303]	590	61
111	[1640]	589	61
112	[5460]	589	61
113	[2054]	589	61
114	[461]	588	61
115	[686]	588	61
116	[3360]	587	61
117	[125]	587	61
118	[177]	586	60
119	[548]	586	60
120	[122]	586	60
121	[573]	586	60
122	[4967]	585	60
123	[1137]	582	60
124	[3005]	582	60
125	[1619]	582	60
126	[175]	582	60
127	[2996]	581	60
128	[5663]	581	60
129	[494]	581	60
130	[231]	580	60
131	[2046]	579	59
132	[1261]	579	59
133	[3937]	577	59
134	[126]	577	59
135	[5166]	577	59
136	[1477]	576	59
137	[1058]	576	59
138	[4242]	576	59
