last update: Sun May 01 2016 00:18:27 GMT+0800 (HKT)

order	team	score	std
0	[67]	911	100
1	[254]	911	100
2	[1718]	883	96
3	[195]	866	94
4	[1678]	862	93
5	[2056]	856	93
6	[694]	852	92
7	[1519]	851	92
8	[148]	850	92
9	[1241]	848	91
10	[2122]	840	90
11	[1690]	838	90
12	[2590]	828	89
13	[217]	827	89
14	[2052]	816	87
15	[364]	799	85
16	[230]	796	84
17	[1918]	794	84
18	[708]	790	84
19	[4678]	782	82
20	[3546]	778	82
21	[3476]	773	81
22	[133]	773	81
23	[5172]	772	81
24	[341]	771	81
25	[3641]	763	80
26	[4334]	755	79
27	[3130]	753	79
28	[5406]	747	78
29	[1501]	739	77
30	[5895]	738	77
31	[3683]	735	76
32	[1425]	733	76
33	[2823]	730	75
34	[294]	728	75
35	[225]	727	75
36	[3538]	724	75
37	[379]	717	74
38	[4564]	715	73
39	[166]	715	73
40	[1731]	714	73
41	[5460]	714	73
42	[987]	713	73
43	[971]	713	73
44	[1024]	710	73
45	[365]	708	72
46	[3339]	708	72
47	[1986]	706	72
48	[3620]	700	71
49	[910]	700	71
50	[33]	700	71
51	[558]	699	71
52	[3539]	699	71
53	[868]	696	71
54	[876]	696	71
55	[27]	696	71
56	[118]	695	71
57	[2137]	692	70
58	[525]	692	70
59	[1323]	690	70
60	[1806]	688	70
61	[2834]	687	70
62	[639]	686	69
63	[2013]	685	69
64	[179]	684	69
65	[1619]	682	69
66	[494]	681	69
67	[3005]	680	69
68	[25]	677	68
69	[2557]	677	68
70	[1305]	675	68
71	[16]	673	68
72	[5050]	670	67
73	[4003]	669	67
74	[1261]	669	67
75	[1756]	666	67
76	[85]	664	66
77	[1197]	662	66
78	[2481]	661	66
79	[3618]	661	66
80	[3357]	660	66
81	[3015]	656	65
82	[5150]	654	65
83	[1257]	649	64
84	[3481]	649	64
85	[4001]	649	64
86	[4028]	647	64
87	[4561]	643	64
88	[2451]	643	64
89	[125]	643	64
90	[5803]	642	64
91	[2767]	636	63
92	[360]	634	62
93	[2648]	634	62
94	[175]	634	62
95	[4587]	632	62
96	[842]	631	62
97	[1089]	628	62
98	[1114]	628	62
99	[3238]	628	62
100	[4967]	625	61
101	[2614]	623	61
102	[5546]	623	61
103	[3990]	622	61
104	[4488]	622	61
105	[1736]	621	61
106	[330]	620	61
107	[1418]	620	61
108	[610]	619	60
109	[359]	619	60
110	[2474]	619	60
111	[3937]	619	60
112	[346]	619	60
113	[4451]	619	60
114	[1640]	619	60
115	[3314]	618	60
116	[2194]	617	60
117	[41]	616	60
118	[2502]	615	60
119	[1538]	615	60
120	[1885]	614	60
121	[3284]	614	60
122	[2522]	613	60
123	[5813]	613	60
124	[1023]	610	59
125	[3663]	609	59
126	[4613]	608	59
127	[2637]	608	59
128	[20]	608	59
129	[193]	606	59
130	[48]	606	59
131	[2471]	606	59
132	[3044]	604	58
133	[70]	602	58
134	[233]	600	58
135	[176]	600	58
136	[2485]	600	58
137	[5448]	599	58
138	[3478]	599	58
139	[4391]	599	58
140	[503]	599	58
141	[122]	598	58
142	[5499]	597	57
143	[333]	596	57
144	[229]	596	57
145	[4103]	596	57
146	[135]	596	57
147	[3309]	595	57
148	[1058]	594	57
149	[2035]	593	57
150	[1011]	591	57
151	[3419]	590	56
152	[303]	590	56
153	[2054]	589	56
154	[5114]	589	56
155	[1747]	589	56
156	[686]	588	56
157	[3360]	587	56
158	[573]	586	56
159	[177]	586	56
160	[548]	586	56
161	[1768]	585	56
162	[1662]	585	56
163	[180]	584	56
164	[3042]	584	56
165	[172]	584	56
166	[1137]	582	55
167	[869]	582	55
168	[5663]	581	55
169	[231]	580	55
170	[2046]	579	55
171	[2438]	578	55
172	[5254]	578	55
173	[2067]	578	55
174	[1625]	577	55
175	[126]	577	55
176	[1684]	576	55
177	[1099]	576	55
178	[2771]	575	54
179	[329]	575	54
180	[5437]	575	54
181	[78]	574	54
182	[228]	573	54
183	[4256]	573	54
184	[3166]	572	54
185	[4253]	570	54
186	[2439]	570	54
187	[1262]	570	54
188	[3352]	567	53
189	[1775]	567	53
190	[1712]	567	53
191	[2383]	566	53
192	[1983]	566	53
193	[3574]	566	53
194	[1143]	566	53
195	[4276]	565	53
196	[1477]	564	53
197	[461]	564	53
198	[1987]	564	53
199	[2783]	564	53
200	[1540]	563	53
201	[245]	563	53
202	[858]	562	53
203	[3534]	562	53
204	[2655]	561	53
205	[120]	561	53
206	[5326]	560	52
207	[2393]	560	52
208	[2415]	559	52
209	[3970]	558	52
210	[207]	558	52
211	[1676]	557	52
212	[4469]	557	52
213	[2147]	557	52
214	[5166]	556	52
