last update: Fri Apr 29 2016 22:15:12 GMT+0800 (HKT)

order	team	score	std
0	[1519]	870	100
1	[195]	810	91
2	[3130]	785	88
3	[1918]	770	86
4	[973]	765	85
5	[2834]	750	83
6	[1241]	740	81
7	[254]	733	80
8	[3620]	716	78
9	[118]	714	77
10	[230]	711	77
11	[2451]	705	76
12	[4001]	705	76
13	[27]	704	76
14	[1024]	700	75
15	[3314]	697	75
16	[166]	694	75
17	[133]	691	74
18	[16]	688	74
19	[3539]	685	73
20	[4362]	680	73
21	[148]	680	73
22	[971]	675	72
23	[45]	670	71
24	[2614]	667	71
25	[610]	665	70
26	[5172]	665	70
27	[987]	665	70
28	[5895]	660	70
29	[67]	655	69
30	[3166]	655	69
31	[3419]	655	69
32	[708]	650	68
33	[2056]	650	68
34	[4564]	650	68
35	[4003]	650	68
36	[3357]	647	68
37	[5907]	645	68
38	[2883]	645	68
39	[225]	644	67
40	[868]	640	67
41	[1806]	640	67
42	[1391]	640	67
43	[2122]	638	67
44	[3641]	633	66
45	[294]	631	66
46	[4060]	630	65
47	[333]	630	65
48	[2035]	630	65
49	[70]	627	65
50	[876]	626	65
51	[1310]	625	65
52	[3970]	624	65
53	[122]	624	65
54	[3538]	623	64
55	[1678]	620	64
56	[1836]	620	64
57	[4678]	619	64
58	[1011]	619	64
59	[172]	617	63
60	[5813]	617	63
61	[2586]	617	63
62	[2767]	615	63
63	[2137]	615	63
64	[1736]	611	63
65	[4587]	610	62
66	[2175]	610	62
67	[2471]	609	62
68	[20]	606	62
69	[5437]	605	62
70	[1640]	605	62
71	[2996]	605	62
72	[330]	604	62
73	[359]	602	61
74	[1323]	601	61
75	[5150]	599	61
76	[125]	599	61
77	[5401]	598	61
78	[1885]	598	61
79	[910]	597	61
80	[842]	597	61
81	[2052]	597	61
82	[5891]	595	60
83	[2393]	595	60
84	[2823]	595	60
85	[2485]	594	60
86	[4561]	593	60
87	[2637]	593	60
88	[639]	592	60
89	[379]	592	60
90	[558]	592	60
91	[5663]	592	60
92	[48]	592	60
93	[2046]	591	60
94	[41]	590	60
95	[5546]	590	60
96	[1023]	589	59
97	[1690]	589	59
98	[1058]	588	59
99	[3476]	587	59
100	[5114]	586	59
101	[3245]	586	59
102	[548]	586	59
103	[1718]	585	59
104	[1501]	585	59
105	[1425]	584	59
106	[4103]	584	59
107	[4242]	583	59
108	[3663]	583	59
109	[5817]	582	58
110	[1477]	582	58
111	[4967]	582	58
112	[1538]	582	58
113	[5406]	582	58
114	[2054]	582	58
115	[834]	581	58
116	[1676]	581	58
117	[123]	580	58
118	[1305]	580	58
119	[5803]	580	58
120	[233]	580	58
121	[3600]	579	58
122	[3990]	579	58
123	[25]	579	58
124	[1306]	578	58
125	[1114]	578	58
126	[229]	578	58
127	[2557]	577	58
128	[2439]	577	58
129	[4330]	577	58
130	[1731]	576	58
131	[3937]	576	58
132	[2481]	576	58
133	[2590]	575	57
134	[175]	575	57
135	[4039]	574	57
136	[4613]	574	57
137	[1318]	574	57
138	[3238]	572	57
