last update: Fri Apr 29 2016 23:26:58 GMT+0800 (HKT)

order	team	score	std
0	[1519]	875	100
1	[195]	810	91
2	[973]	810	91
3	[1241]	800	89
4	[3130]	785	87
5	[2834]	750	82
6	[254]	741	81
7	[133]	729	79
8	[3620]	716	77
9	[4001]	715	77
10	[118]	714	77
11	[230]	711	77
12	[2451]	705	76
13	[27]	704	76
14	[5172]	703	75
15	[1024]	700	75
16	[166]	694	74
17	[148]	688	73
18	[16]	688	73
19	[67]	685	73
20	[225]	678	72
21	[4003]	675	71
22	[2823]	675	71
23	[971]	675	71
24	[45]	675	71
25	[2614]	667	70
26	[4564]	665	70
27	[987]	665	70
28	[2035]	665	70
29	[2056]	662	70
30	[5895]	660	69
31	[3166]	655	69
32	[48]	650	68
33	[3357]	647	67
34	[610]	647	67
35	[360]	646	67
36	[5907]	645	67
37	[708]	644	67
38	[3314]	643	67
39	[1806]	640	66
40	[1391]	640	66
41	[1918]	638	66
42	[333]	635	66
43	[4060]	635	66
44	[868]	634	66
45	[876]	634	66
46	[3641]	633	65
47	[2767]	629	65
48	[1114]	628	65
49	[1310]	625	64
50	[3538]	623	64
51	[1323]	623	64
52	[122]	622	64
53	[1425]	620	64
54	[1678]	620	64
55	[1731]	620	64
56	[4678]	619	63
57	[1011]	619	63
58	[2471]	618	63
59	[1736]	617	63
60	[5813]	617	63
61	[294]	616	63
62	[330]	616	63
63	[2137]	615	63
64	[1885]	614	63
65	[558]	610	62
66	[3476]	609	62
67	[910]	609	62
68	[5437]	605	61
69	[1640]	605	61
70	[2052]	605	61
71	[41]	605	61
72	[245]	605	61
73	[2996]	605	61
74	[4587]	604	61
75	[5663]	602	61
76	[359]	602	61
77	[6167]	601	61
78	[4967]	600	61
79	[1538]	600	61
80	[5546]	600	61
81	[4561]	599	61
82	[5150]	599	61
83	[2637]	599	61
84	[125]	599	61
85	[70]	599	61
86	[548]	598	60
87	[3419]	598	60
88	[842]	597	60
89	[5891]	595	60
90	[5114]	595	60
91	[2393]	595	60
92	[2485]	594	60
93	[172]	593	60
94	[3600]	593	60
95	[3452]	593	60
96	[379]	592	60
97	[3970]	592	60
98	[639]	592	60
99	[1747]	591	59
100	[2557]	591	59
101	[2046]	591	59
102	[1690]	589	59
103	[2590]	589	59
104	[2481]	588	59
105	[5406]	588	59
106	[2122]	587	59
107	[4451]	587	59
108	[20]	586	59
109	[1718]	585	59
110	[1501]	585	59
111	[2403]	584	58
112	[4103]	584	58
113	[4242]	583	58
114	[3663]	583	58
115	[2054]	582	58
116	[1676]	581	58
117	[834]	581	58
118	[329]	581	58
119	[3309]	580	58
120	[1305]	580	58
121	[233]	580	58
122	[33]	580	58
123	[25]	579	58
124	[5460]	579	58
125	[1023]	579	58
126	[3937]	579	58
127	[3683]	578	58
128	[2147]	578	58
129	[229]	578	58
130	[2439]	577	57
131	[3245]	577	57
132	[858]	577	57
133	[4391]	576	57
134	[3990]	576	57
135	[2522]	575	57
136	[175]	575	57
137	[1481]	575	57
138	[2771]	575	57
139	[4039]	574	57
140	[1477]	573	57
141	[3310]	572	57
142	[3238]	572	57
143	[179]	571	57
144	[120]	571	57
145	[217]	570	56
146	[3478]	570	56
147	[1836]	569	56
148	[3604]	569	56
149	[2081]	569	56
150	[2175]	568	56
151	[3234]	568	56
152	[5926]	567	56
153	[126]	567	56
154	[1987]	567	56
155	[4264]	567	56
156	[177]	564	56
157	[5677]	564	56
158	[1540]	564	56
159	[1559]	563	55
160	[1418]	563	55
161	[1684]	562	55
162	[4613]	562	55
163	[4085]	562	55
164	[5914]	562	55
165	[3481]	562	55
166	[1124]	561	55
167	[4469]	561	55
168	[694]	560	55
169	[3098]	560	55
170	[78]	560	55
171	[5499]	559	55
172	[1712]	559	55
173	[3618]	559	55
174	[191]	558	55
175	[1306]	558	55
176	[228]	558	55
177	[461]	558	55
178	[4256]	558	55
179	[85]	557	55
180	[1261]	557	55
181	[346]	556	54
182	[303]	556	54
183	[3504]	555	54
184	[4920]	555	54
185	[525]	555	54
186	[1099]	555	54
187	[1756]	555	54
188	[2883]	555	54
189	[1511]	555	54
190	[4241]	554	54
191	[365]	554	54
192	[1983]	554	54
193	[5448]	553	54
194	[2064]	553	54
195	[4330]	553	54
196	[2881]	553	54
197	[494]	553	54
198	[4488]	553	54
199	[573]	552	54
200	[319]	552	54
201	[231]	552	54
202	[904]	552	54
203	[2468]	552	54
204	[3688]	551	54
205	[869]	551	54
206	[1058]	550	54
207	[2648]	550	54
208	[2067]	550	54
209	[3339]	550	54
210	[870]	549	53
211	[1764]	549	53
212	[4028]	549	53
213	[4525]	548	53
214	[2486]	548	53
215	[5618]	548	53
216	[4550]	547	53
217	[5801]	546	53
218	[5254]	546	53
219	[5933]	545	53
220	[3352]	543	53
221	[2013]	543	53
222	[3044]	542	52
223	[5167]	542	52
224	[4135]	541	52
225	[2341]	541	52
226	[5401]	541	52
227	[1318]	541	52
228	[1768]	541	52
229	[1746]	540	52
230	[68]	540	52
231	[2502]	540	52
232	[1619]	540	52
233	[1137]	539	52
234	[1250]	539	52
235	[2846]	538	52
236	[3637]	538	52
237	[2783]	537	52
238	[1710]	537	52
239	[597]	537	52
240	[135]	535	51
241	[503]	535	51
242	[2990]	535	51
243	[4180]	535	51
244	[4499]	535	51
245	[4146]	534	51
246	[3158]	534	51
247	[4911]	534	51
248	[1089]	533	51
249	[207]	533	51
250	[3536]	532	51
251	[3039]	532	51
252	[3539]	532	51
253	[5039]	532	51
254	[364]	531	51
255	[1796]	531	51
256	[3360]	531	51
257	[5166]	530	51
258	[5712]	529	51
259	[4063]	529	51
260	[1086]	528	50
261	[1648]	527	50
262	[5830]	527	50
263	[2474]	527	50
264	[193]	526	50
265	[1923]	526	50
266	[4159]	526	50
267	[6220]	525	50
268	[5832]	525	50
269	[6035]	525	50
270	[5279]	525	50
271	[4905]	524	50
272	[6086]	523	50
273	[1665]	523	50
274	[4329]	523	50
275	[746]	523	50
276	[1625]	522	50
277	[103]	522	50
278	[6193]	522	50
279	[5817]	522	50
280	[3546]	522	50
281	[1986]	522	50
282	[3284]	521	50
283	[6166]	521	50
284	[4405]	521	50
285	[111]	521	50
286	[180]	520	49
287	[5842]	519	49
288	[5816]	519	49
289	[6098]	519	49
290	[4216]	519	49
291	[4131]	519	49
292	[5624]	518	49
