last update: Sat Apr 30 2016 07:26:55 GMT+0800 (HKT)

order	team	score	std
0	[973]	855	100
1	[2451]	785	90
2	[195]	754	85
3	[254]	753	85
4	[1519]	752	85
5	[230]	745	84
6	[118]	734	82
7	[133]	729	81
8	[2823]	720	80
9	[5172]	714	79
10	[1241]	710	79
11	[3620]	707	78
12	[27]	702	78
13	[148]	702	78
14	[971]	699	77
15	[1678]	692	76
16	[179]	687	75
17	[1024]	686	75
18	[16]	673	73
19	[166]	673	73
20	[1690]	667	72
21	[1806]	666	72
22	[217]	663	72
23	[2056]	662	72
24	[708]	662	72
25	[610]	658	71
26	[1425]	658	71
27	[294]	654	70
28	[67]	651	70
29	[1918]	651	70
30	[868]	650	70
31	[3538]	650	70
32	[225]	649	70
33	[1731]	644	69
34	[33]	644	69
35	[694]	643	69
36	[4561]	643	69
37	[4564]	640	68
38	[4678]	640	68
39	[3641]	639	68
40	[2767]	636	68
41	[360]	634	68
42	[2122]	633	67
43	[1718]	633	67
44	[4587]	632	67
45	[842]	631	67
46	[4334]	631	67
47	[3314]	630	67
48	[5460]	628	67
49	[3238]	628	67
50	[1114]	628	67
51	[1305]	627	67
52	[330]	626	66
53	[3683]	625	66
54	[2834]	623	66
55	[5546]	623	66
56	[4103]	623	66
57	[5895]	622	66
58	[1736]	621	66
59	[558]	621	66
60	[1501]	621	66
61	[1418]	620	65
62	[5150]	620	65
63	[41]	616	65
64	[1538]	615	65
65	[3284]	614	65
66	[1885]	614	65
67	[1323]	614	65
68	[5813]	613	64
69	[2522]	613	64
70	[2557]	611	64
71	[876]	610	64
72	[4488]	610	64
73	[25]	609	64
74	[2013]	609	64
75	[3618]	609	64
76	[359]	609	64
77	[3663]	609	64
78	[2590]	609	64
79	[2137]	609	64
80	[20]	608	64
81	[2637]	608	64
82	[4613]	608	64
83	[2052]	607	64
84	[2471]	606	63
85	[48]	606	63
86	[4451]	605	63
87	[3130]	605	63
88	[3476]	605	63
89	[3044]	604	63
90	[2481]	602	63
91	[70]	602	63
92	[910]	600	63
93	[2485]	600	63
94	[4391]	599	62
95	[3478]	599	62
96	[122]	598	62
97	[4001]	598	62
98	[1747]	598	62
99	[5406]	598	62
100	[5499]	597	62
101	[3990]	596	62
102	[2438]	596	62
103	[229]	596	62
104	[2614]	595	62
105	[3309]	595	62
106	[2035]	593	62
107	[5114]	592	61
108	[346]	591	61
109	[1768]	591	61
110	[176]	591	61
111	[303]	590	61
112	[2054]	589	61
113	[1640]	589	61
114	[461]	588	61
115	[686]	588	61
116	[125]	587	61
117	[3360]	587	61
118	[573]	586	60
119	[548]	586	60
120	[177]	586	60
121	[4967]	585	60
122	[172]	584	60
123	[175]	582	60
124	[869]	582	60
125	[1619]	582	60
126	[1137]	582	60
127	[494]	581	60
128	[5663]	581	60
129	[231]	580	60
130	[2046]	579	59
131	[1261]	579	59
132	[2067]	578	59
133	[3937]	577	59
134	[126]	577	59
135	[1099]	576	59
136	[1058]	576	59
137	[319]	575	59
138	[2771]	575	59
