last update: Sat Apr 30 2016 03:21:30 GMT+0800 (HKT)

order	team	score	std
0	[1241]	865	100
1	[67]	825	94
2	[195]	820	93
3	[973]	810	92
4	[2451]	785	88
5	[1519]	752	84
6	[254]	741	82
7	[27]	730	80
8	[133]	729	80
9	[118]	728	80
10	[230]	721	79
11	[3620]	716	78
12	[5172]	711	78
13	[2823]	705	77
14	[148]	702	76
15	[971]	699	76
16	[987]	695	75
17	[166]	694	75
18	[16]	688	74
19	[225]	678	73
20	[1024]	676	73
21	[4003]	675	73
22	[2035]	665	71
23	[1806]	665	71
24	[2056]	662	71
25	[3314]	659	70
26	[3641]	657	70
27	[48]	654	69
28	[5546]	650	69
29	[610]	649	69
30	[294]	648	69
31	[360]	646	68
32	[2767]	645	68
33	[1425]	644	68
34	[708]	644	68
35	[1678]	642	68
36	[1918]	642	68
37	[1690]	641	68
38	[2614]	640	67
39	[217]	639	67
40	[876]	637	67
41	[333]	635	67
42	[4564]	635	67
43	[868]	634	67
44	[1731]	630	66
45	[2052]	627	66
46	[1736]	627	66
47	[1538]	627	66
48	[3683]	625	65
49	[1418]	623	65
50	[122]	622	65
51	[3357]	620	65
52	[3990]	620	65
53	[4678]	620	65
54	[2471]	618	64
55	[558]	618	64
56	[245]	617	64
57	[1323]	617	64
58	[2393]	617	64
59	[330]	616	64
60	[2485]	614	64
61	[5150]	614	64
62	[1885]	614	64
63	[3309]	613	64
64	[126]	613	64
65	[3663]	613	64
66	[1114]	612	63
67	[2557]	611	63
68	[2996]	611	63
69	[1305]	611	63
70	[5663]	610	63
71	[2054]	610	63
72	[2637]	608	63
73	[33]	608	63
74	[20]	608	63
75	[5895]	606	63
76	[3130]	605	62
77	[842]	605	62
78	[3238]	605	62
79	[4561]	605	62
80	[4587]	604	62
81	[2137]	603	62
82	[1747]	601	62
83	[2122]	601	62
84	[910]	600	62
85	[125]	599	62
86	[2403]	598	61
87	[4451]	597	61
88	[4391]	597	61
89	[2013]	597	61
90	[1718]	597	61
91	[3044]	596	61
92	[41]	596	61
93	[548]	595	61
94	[3937]	595	61
95	[3618]	594	61
96	[229]	594	61
97	[5499]	593	61
98	[3538]	593	61
99	[359]	593	61
100	[1501]	593	61
101	[172]	593	61
102	[70]	592	60
103	[25]	591	60
104	[2834]	591	60
105	[319]	590	60
106	[2590]	589	60
107	[1011]	589	60
108	[346]	589	60
109	[694]	588	60
110	[2481]	588	60
111	[5406]	588	60
112	[1306]	586	60
113	[177]	586	60
114	[4967]	585	59
115	[4103]	584	59
116	[1058]	584	59
117	[303]	584	59
118	[2175]	582	59
119	[2046]	582	59
120	[1559]	581	59
121	[5114]	580	59
122	[231]	580	59
123	[4242]	580	59
124	[5460]	579	59
125	[869]	579	59
126	[3476]	579	59
