last update: Sat Apr 30 2016 22:34:48 GMT+0800 (HKT)

order	team	score	std
0	[973]	855	100
1	[2451]	785	90
2	[195]	754	85
3	[254]	753	85
4	[1519]	752	85
5	[230]	745	84
6	[133]	729	81
7	[2823]	720	80
8	[5172]	714	79
9	[1241]	710	79
10	[3620]	707	78
11	[148]	702	78
12	[27]	702	78
13	[971]	699	77
14	[118]	695	77
15	[1678]	692	76
16	[179]	687	75
17	[1024]	686	75
18	[16]	673	73
19	[166]	673	73
20	[1501]	671	73
21	[1690]	667	72
22	[1806]	666	72
23	[217]	663	72
24	[708]	662	72
25	[2056]	662	72
26	[610]	658	71
27	[1425]	658	71
28	[294]	654	70
29	[1918]	651	70
30	[67]	651	70
31	[3538]	650	70
32	[868]	650	70
33	[225]	649	70
34	[33]	644	69
35	[1731]	644	69
36	[694]	643	69
37	[4561]	643	69
38	[4678]	640	68
39	[4564]	640	68
40	[3641]	639	68
41	[2767]	636	68
42	[360]	634	68
43	[1718]	633	67
44	[2122]	633	67
45	[4587]	632	67
46	[4334]	631	67
47	[842]	631	67
48	[3314]	630	67
49	[5460]	628	67
50	[3238]	628	67
51	[1114]	628	67
52	[1305]	627	67
53	[330]	626	66
54	[3683]	625	66
55	[2834]	623	66
56	[5546]	623	66
57	[4103]	623	66
58	[2614]	623	66
59	[5895]	622	66
60	[125]	621	66
61	[1736]	621	66
62	[558]	621	66
63	[5150]	620	65
64	[1418]	620	65
65	[4451]	619	65
66	[41]	616	65
67	[1538]	615	65
68	[3284]	614	65
69	[1323]	614	65
70	[1885]	614	65
71	[2522]	613	64
72	[5813]	613	64
73	[876]	610	64
74	[4488]	610	64
75	[2590]	609	64
76	[3663]	609	64
77	[25]	609	64
78	[3618]	609	64
79	[359]	609	64
80	[2137]	609	64
81	[2013]	609	64
82	[4613]	608	64
83	[20]	608	64
84	[2637]	608	64
85	[2052]	607	64
86	[48]	606	63
87	[2471]	606	63
88	[3476]	605	63
89	[3130]	605	63
90	[3044]	604	63
91	[2481]	602	63
92	[70]	602	63
93	[2485]	600	63
94	[1986]	600	63
95	[4391]	599	62
96	[3478]	599	62
97	[1747]	598	62
98	[122]	598	62
99	[4001]	598	62
100	[5406]	598	62
101	[5499]	597	62
102	[3990]	596	62
103	[229]	596	62
104	[3309]	595	62
105	[346]	595	62
106	[1058]	594	62
107	[2035]	593	62
108	[2557]	593	62
109	[176]	591	61
110	[1768]	591	61
111	[494]	591	61
112	[303]	590	61
113	[1640]	589	61
114	[5114]	589	61
115	[2054]	589	61
116	[910]	588	61
117	[686]	588	61
118	[3360]	587	61
119	[573]	586	60
120	[548]	586	60
121	[177]	586	60
122	[4967]	585	60
123	[172]	584	60
124	[175]	582	60
125	[1619]	582	60
126	[869]	582	60
127	[1137]	582	60
128	[5663]	581	60
129	[231]	580	60
130	[2046]	579	59
131	[1261]	579	59
132	[2438]	578	59
133	[2067]	578	59
134	[126]	577	59
135	[3937]	577	59
136	[1684]	576	59
137	[365]	576	59
138	[1099]	576	59
