last update: Sat Apr 30 2016 07:01:20 GMT+0800 (HKT)

order	team	score	std
0	[973]	855	100
1	[2451]	785	90
2	[195]	754	85
3	[1519]	752	85
4	[254]	747	84
5	[230]	745	84
6	[3620]	737	83
7	[118]	734	82
8	[133]	729	81
9	[2823]	720	80
10	[5172]	714	79
11	[1241]	710	79
12	[27]	702	78
13	[148]	702	78
14	[971]	699	77
15	[179]	687	75
16	[225]	682	75
17	[1678]	682	75
18	[16]	673	73
19	[166]	673	73
20	[1024]	670	73
21	[1690]	667	72
22	[1806]	666	72
23	[217]	663	72
24	[2056]	662	72
25	[708]	662	72
26	[1425]	658	71
27	[610]	658	71
28	[294]	654	70
29	[1918]	651	70
30	[67]	651	70
31	[3538]	650	70
32	[868]	650	70
33	[360]	646	69
34	[1736]	645	69
35	[33]	644	69
36	[1731]	644	69
37	[4561]	643	69
38	[4564]	640	68
39	[4678]	640	68
40	[694]	639	68
41	[3641]	639	68
42	[2052]	637	68
43	[2767]	636	68
44	[2122]	633	67
45	[1718]	633	67
46	[4587]	632	67
47	[4334]	631	67
48	[842]	631	67
49	[3314]	630	67
50	[1114]	628	67
51	[5460]	628	67
52	[1305]	627	67
53	[330]	626	66
54	[3683]	625	66
55	[4103]	623	66
56	[5546]	623	66
57	[1418]	623	66
58	[2834]	623	66
59	[5895]	622	66
60	[1501]	621	66
61	[558]	621	66
62	[5150]	620	65
63	[41]	616	65
64	[3238]	616	65
65	[1538]	615	65
66	[3284]	614	65
67	[1323]	614	65
68	[1885]	614	65
69	[2557]	611	64
70	[4488]	610	64
71	[876]	610	64
72	[25]	609	64
73	[2137]	609	64
74	[3663]	609	64
75	[2013]	609	64
76	[359]	609	64
77	[2590]	609	64
78	[4613]	608	64
79	[20]	608	64
80	[2637]	608	64
81	[1747]	607	64
82	[2471]	606	63
83	[48]	606	63
84	[4451]	605	63
85	[3476]	605	63
86	[3130]	605	63
87	[3044]	604	63
88	[2481]	602	63
89	[910]	600	63
90	[2485]	600	63
91	[4391]	599	62
92	[3478]	599	62
93	[5406]	598	62
94	[4001]	598	62
95	[5813]	597	62
96	[3990]	596	62
97	[2438]	596	62
98	[229]	596	62
99	[2614]	595	62
100	[3309]	595	62
101	[2522]	595	62
102	[3618]	594	62
103	[2035]	593	62
104	[5499]	593	62
105	[5114]	592	61
106	[176]	591	61
107	[1768]	591	61
108	[346]	591	61
109	[303]	590	61
110	[2054]	589	61
111	[1640]	589	61
112	[686]	588	61
113	[461]	588	61
114	[3360]	587	61
115	[125]	587	61
116	[177]	586	60
117	[573]	586	60
118	[122]	586	60
119	[548]	586	60
120	[4967]	585	60
121	[172]	584	60
122	[175]	582	60
123	[1619]	582	60
124	[869]	582	60
125	[1137]	582	60
126	[3005]	582	60
127	[5663]	581	60
128	[494]	581	60
129	[231]	580	60
130	[2046]	579	59
131	[1261]	579	59
132	[2067]	578	59
133	[126]	577	59
134	[3937]	577	59
135	[1099]	576	59
136	[4242]	576	59
137	[1058]	576	59
138	[329]	575	59
