last update: Sat Apr 30 2016 23:22:07 GMT+0800 (HKT)

order	team	score	std
0	[973]	1015	100
1	[254]	861	82
2	[195]	848	80
3	[1718]	844	80
4	[1519]	836	79
5	[1241]	806	75
6	[1918]	806	75
7	[2122]	796	74
8	[2451]	790	73
9	[1678]	780	72
10	[148]	778	72
11	[2052]	776	72
12	[5172]	766	70
13	[230]	764	70
14	[694]	764	70
15	[2590]	762	70
16	[2056]	752	69
17	[133]	749	68
18	[3620]	743	68
19	[610]	742	68
20	[5460]	738	67
21	[217]	737	67
22	[708]	732	66
23	[2823]	730	66
24	[1690]	727	66
25	[225]	727	66
26	[27]	723	65
27	[67]	721	65
28	[166]	715	64
29	[179]	715	64
30	[365]	714	64
31	[1731]	714	64
32	[1501]	711	64
33	[4678]	708	63
34	[971]	707	63
35	[3546]	703	63
36	[5895]	700	63
37	[330]	698	62
38	[3641]	697	62
39	[876]	696	62
40	[868]	696	62
41	[3357]	696	62
42	[118]	695	62
43	[3683]	694	62
44	[4564]	694	62
45	[3538]	692	62
46	[85]	691	61
47	[1425]	691	61
48	[1024]	686	61
49	[294]	684	61
50	[2481]	684	61
51	[33]	684	61
52	[3476]	683	61
53	[3005]	680	60
54	[364]	679	60
55	[987]	679	60
56	[5406]	678	60
57	[1806]	678	60
58	[341]	677	60
59	[2557]	677	60
60	[16]	673	59
61	[1261]	669	59
62	[1305]	663	58
63	[3618]	661	58
64	[558]	661	58
65	[2137]	659	58
66	[2834]	659	58
67	[3015]	656	57
68	[25]	653	57
69	[1323]	650	57
70	[4001]	649	56
71	[4334]	649	56
72	[1986]	648	56
73	[2013]	647	56
74	[639]	646	56
75	[4561]	643	56
76	[5803]	642	56
77	[2767]	636	55
78	[494]	635	55
79	[4103]	635	55
80	[360]	634	55
81	[175]	634	55
82	[4587]	632	54
83	[842]	631	54
84	[3937]	629	54
85	[1114]	628	54
86	[3238]	628	54
87	[1089]	628	54
88	[1619]	626	54
89	[525]	626	54
90	[910]	626	54
91	[5546]	623	53
92	[2614]	623	53
93	[4488]	622	53
94	[1736]	621	53
95	[125]	621	53
96	[1418]	620	53
97	[5150]	620	53
98	[4451]	619	53
99	[2474]	619	53
100	[359]	619	53
101	[3314]	618	53
102	[319]	617	53
103	[41]	616	53
104	[1538]	615	52
105	[379]	615	52
106	[3481]	615	52
107	[3284]	614	52
108	[1885]	614	52
109	[4003]	613	52
110	[2522]	613	52
111	[1023]	613	52
112	[5813]	613	52
113	[1197]	612	52
114	[1257]	612	52
115	[5050]	610	52
116	[2648]	610	52
117	[3663]	609	52
118	[20]	608	52
119	[4613]	608	52
120	[2637]	608	52
121	[2471]	606	51
122	[48]	606	51
123	[3130]	605	51
124	[4028]	605	51
125	[3044]	604	51
126	[2064]	602	51
127	[1756]	602	51
128	[70]	602	51
129	[4967]	601	51
130	[346]	601	51
131	[176]	600	51
132	[2485]	600	51
133	[503]	599	51
134	[3478]	599	51
135	[5448]	599	51
136	[4391]	599	51
137	[122]	598	50
138	[3339]	598	50
139	[5499]	597	50
140	[135]	596	50
141	[3990]	596	50
142	[229]	596	50
143	[3309]	595	50
144	[3539]	594	50
145	[1058]	594	50
146	[2035]	593	50
147	[303]	590	49
148	[5114]	589	49
149	[1747]	589	49
150	[1640]	589	49
151	[2054]	589	49
152	[686]	588	49
153	[3360]	587	49
154	[333]	587	49
155	[177]	586	49
156	[548]	586	49
157	[573]	586	49
158	[1768]	585	49
159	[172]	584	49
160	[1137]	582	49
161	[869]	582	49
162	[5663]	581	48
163	[231]	580	48
164	[4039]	580	48
165	[2046]	579	48
166	[5254]	578	48
167	[2067]	578	48
168	[2438]	578	48
169	[126]	577	48
170	[1625]	577	48
171	[2502]	577	48
172	[1684]	576	48
173	[1099]	576	48
174	[5437]	575	48
175	[329]	575	48
176	[2771]	575	48
177	[78]	574	48
178	[228]	573	47
179	[2194]	573	47
180	[4256]	573	47
181	[1540]	572	47
182	[1011]	571	47
183	[2439]	570	47
184	[4253]	570	47
185	[1262]	570	47
186	[3352]	567	47
187	[1712]	567	47
188	[1143]	566	47
189	[3419]	566	47
190	[3574]	566	47
191	[1983]	566	47
