last update: Fri Apr 29 2016 23:16:44 GMT+0800 (HKT)

order	team	score	std
0	[1519]	875	100
1	[973]	810	91
2	[195]	810	91
3	[1241]	800	89
4	[3130]	785	87
5	[2834]	750	82
6	[254]	741	81
7	[133]	729	79
8	[3620]	716	77
9	[4001]	715	77
10	[118]	714	77
11	[230]	711	77
12	[2451]	705	76
13	[27]	704	76
14	[1024]	700	75
15	[166]	694	74
16	[16]	688	73
17	[67]	685	73
18	[148]	680	72
19	[225]	678	72
20	[4003]	675	71
21	[2823]	675	71
22	[971]	675	71
23	[45]	675	71
24	[2614]	667	70
25	[5172]	665	70
26	[4564]	665	70
27	[987]	665	70
28	[5895]	660	69
29	[3166]	655	69
30	[2056]	650	68
31	[3357]	647	67
32	[610]	647	67
33	[360]	646	67
34	[5907]	645	67
35	[708]	644	67
36	[3314]	643	67
37	[1391]	640	66
38	[1806]	640	66
39	[1918]	638	66
40	[333]	635	66
41	[4060]	635	66
42	[868]	634	66
43	[876]	634	66
44	[3641]	633	65
45	[2035]	630	65
46	[2767]	629	65
47	[1114]	628	65
48	[1310]	625	64
49	[3538]	623	64
50	[1323]	623	64
51	[122]	622	64
52	[1678]	620	64
53	[1425]	620	64
54	[1011]	619	63
55	[4678]	619	63
56	[2471]	618	63
57	[5813]	617	63
58	[172]	617	63
59	[1736]	617	63
60	[330]	616	63
61	[294]	616	63
62	[2137]	615	63
63	[1885]	614	63
64	[558]	610	62
65	[3476]	609	62
66	[41]	605	61
67	[2996]	605	61
68	[2052]	605	61
69	[5437]	605	61
70	[1640]	605	61
71	[4587]	604	61
72	[359]	602	61
73	[5663]	602	61
74	[6167]	601	61
75	[1538]	600	61
76	[4967]	600	61
77	[5546]	600	61
78	[125]	599	61
79	[4561]	599	61
80	[5150]	599	61
81	[2637]	599	61
82	[70]	599	61
83	[548]	598	60
84	[3419]	598	60
85	[910]	597	60
86	[842]	597	60
87	[2393]	595	60
88	[5114]	595	60
89	[5891]	595	60
90	[2485]	594	60
91	[3452]	593	60
92	[3600]	593	60
93	[639]	592	60
94	[48]	592	60
95	[3970]	592	60
96	[379]	592	60
97	[2046]	591	59
98	[2557]	591	59
99	[1747]	591	59
100	[2590]	589	59
101	[1690]	589	59
102	[5406]	588	59
103	[2122]	587	59
104	[4451]	587	59
105	[3245]	586	59
106	[20]	586	59
107	[1501]	585	59
108	[1718]	585	59
109	[4103]	584	58
110	[2403]	584	58
111	[3663]	583	58
112	[4242]	583	58
113	[2054]	582	58
114	[329]	581	58
115	[834]	581	58
116	[1676]	581	58
117	[3309]	580	58
118	[33]	580	58
119	[1305]	580	58
120	[5803]	580	58
121	[233]	580	58
122	[3937]	579	58
123	[1023]	579	58
124	[25]	579	58
125	[5460]	579	58
126	[2147]	578	58
127	[3683]	578	58
128	[229]	578	58
129	[858]	577	57
130	[2439]	577	57
131	[4391]	576	57
132	[3990]	576	57
133	[2481]	576	57
134	[1731]	576	57
135	[175]	575	57
136	[2771]	575	57
137	[1481]	575	57
138	[2522]	575	57
139	[4039]	574	57
140	[1477]	573	57
141	[3310]	572	57
142	[3238]	572	57
143	[179]	571	57
144	[120]	571	57
145	[217]	570	56
146	[3478]	570	56
147	[904]	570	56
148	[1836]	569	56
149	[2081]	569	56
150	[3604]	569	56
151	[245]	569	56
152	[3234]	568	56
153	[2175]	568	56
154	[1987]	567	56
155	[126]	567	56
156	[5926]	567	56
157	[4264]	567	56
158	[5677]	564	56
159	[1540]	564	56
160	[1559]	563	55
161	[4085]	562	55
162	[3481]	562	55
163	[4613]	562	55
164	[1684]	562	55
165	[1124]	561	55
166	[4469]	561	55
167	[3098]	560	55
168	[78]	560	55
169	[694]	560	55
170	[5499]	559	55
171	[3618]	559	55
172	[1712]	559	55
173	[1306]	558	55
174	[228]	558	55
175	[191]	558	55
176	[4256]	558	55
177	[461]	558	55
178	[85]	557	55
179	[1261]	557	55
180	[5914]	556	54
181	[1511]	555	54
182	[1099]	555	54
183	[4920]	555	54
184	[525]	555	54
185	[1756]	555	54
186	[3504]	555	54
187	[2883]	555	54
188	[4241]	554	54
189	[365]	554	54
190	[1983]	554	54
191	[4330]	553	54
192	[2064]	553	54
193	[5448]	553	54
194	[494]	553	54
195	[2881]	553	54
196	[4488]	553	54
197	[2468]	552	54
198	[319]	552	54
199	[231]	552	54
200	[869]	551	54
201	[3688]	551	54
