last update: Sat Apr 30 2016 02:55:56 GMT+0800 (HKT)

order	team	score	std
0	[1241]	865	100
1	[195]	810	92
2	[973]	810	92
3	[2451]	785	88
4	[67]	770	86
5	[1519]	752	84
6	[254]	741	82
7	[27]	730	80
8	[133]	729	80
9	[118]	728	80
10	[230]	721	79
11	[3620]	716	78
12	[5172]	711	78
13	[2823]	705	77
14	[148]	702	76
15	[971]	699	76
16	[987]	695	75
17	[166]	694	75
18	[16]	688	74
19	[225]	678	73
20	[1024]	676	73
21	[4003]	675	73
22	[1806]	665	71
23	[2035]	665	71
24	[2056]	662	71
25	[3314]	659	70
26	[3641]	657	70
27	[48]	654	69
28	[5546]	650	69
29	[610]	649	69
30	[294]	648	69
31	[360]	646	68
32	[2767]	645	68
33	[708]	644	68
34	[1425]	644	68
35	[1678]	642	68
36	[1690]	641	68
37	[2614]	640	67
38	[217]	639	67
39	[1918]	638	67
40	[876]	637	67
41	[4564]	635	67
42	[333]	635	67
43	[868]	634	67
44	[1731]	630	66
45	[1736]	627	66
46	[2052]	627	66
47	[1538]	627	66
48	[122]	622	65
49	[3990]	620	65
50	[3357]	620	65
51	[558]	618	64
52	[2471]	618	64
53	[4967]	618	64
54	[245]	617	64
55	[1323]	617	64
56	[2393]	617	64
57	[330]	616	64
58	[1885]	614	64
59	[2485]	614	64
60	[3309]	613	64
61	[3663]	613	64
62	[2996]	611	63
63	[5663]	610	63
64	[1114]	610	63
65	[2054]	610	63
66	[33]	608	63
67	[2637]	608	63
68	[5895]	606	63
69	[3238]	605	62
70	[41]	605	62
71	[4561]	605	62
72	[3130]	605	62
73	[842]	605	62
74	[4587]	604	62
75	[2137]	603	62
76	[359]	602	62
77	[1305]	601	62
78	[1747]	601	62
79	[70]	601	62
80	[2122]	601	62
81	[1418]	601	62
82	[910]	600	62
83	[5150]	599	62
84	[125]	599	62
85	[4678]	598	61
86	[2403]	598	61
87	[4391]	597	61
88	[1718]	597	61
89	[3044]	596	61
90	[126]	595	61
91	[3937]	595	61
92	[548]	595	61
93	[229]	594	61
94	[172]	593	61
95	[3538]	593	61
96	[5499]	593	61
97	[1501]	593	61
98	[25]	591	60
99	[2834]	591	60
100	[2557]	591	60
101	[2046]	591	60
102	[319]	590	60
103	[3419]	589	60
