last update: Sat Apr 30 2016 05:19:12 GMT+0800 (HKT)

order	team	score	std
0	[1241]	875	100
1	[973]	855	97
2	[67]	825	93
3	[2451]	785	87
4	[195]	754	83
5	[1519]	752	82
6	[254]	741	81
7	[230]	741	81
8	[27]	738	80
9	[3620]	737	80
10	[133]	729	79
11	[118]	728	79
12	[2823]	720	78
13	[5172]	711	77
14	[148]	702	75
15	[971]	699	75
16	[16]	688	73
17	[179]	683	73
18	[225]	682	72
19	[4003]	675	71
20	[166]	673	71
21	[1024]	670	71
22	[2035]	668	70
23	[1690]	667	70
24	[1806]	666	70
25	[217]	663	70
26	[2056]	662	70
27	[610]	661	69
28	[3641]	657	69
29	[1425]	656	69
30	[1918]	651	68
31	[5546]	650	68
32	[868]	650	68
33	[294]	648	68
34	[360]	646	67
35	[1736]	645	67
36	[2767]	645	67
37	[708]	644	67
38	[1731]	644	67
39	[1678]	642	67
40	[4678]	640	66
41	[48]	639	66
42	[359]	639	66
43	[694]	639	66
44	[2052]	637	66
45	[2122]	633	65
46	[4564]	632	65
47	[4561]	631	65
48	[3314]	626	64
49	[3683]	625	64
50	[2485]	624	64
51	[3538]	624	64
52	[1418]	623	64
53	[2834]	623	64
54	[122]	622	64
55	[3990]	620	64
56	[2471]	618	63
57	[558]	618	63
58	[2403]	616	63
59	[330]	616	63
60	[3238]	616	63
61	[1538]	615	63
62	[3663]	615	63
63	[1885]	614	63
64	[5150]	614	63
65	[1323]	614	63
66	[1718]	613	63
67	[126]	613	63
68	[1114]	612	62
69	[2557]	611	62
70	[1305]	611	62
71	[5895]	610	62
72	[876]	610	62
73	[3044]	610	62
74	[25]	609	62
75	[2637]	608	62
76	[33]	608	62
77	[20]	608	62
78	[842]	607	62
79	[1747]	607	62
80	[3284]	606	62
81	[2590]	605	61
82	[3130]	605	61
83	[3476]	605	61
84	[4587]	604	61
85	[2137]	603	61
86	[2481]	602	61
87	[910]	600	61
88	[4391]	599	61
89	[5406]	598	60
90	[869]	597	60
91	[2013]	597	60
92	[41]	596	60
93	[2614]	595	60
94	[3937]	595	60
95	[3309]	595	60
96	[229]	594	60
97	[1058]	594	60
98	[3618]	594	60
99	[5499]	593	60
100	[1501]	593	60
101	[172]	593	60
102	[245]	593	60
103	[176]	591	59
104	[4001]	590	59
105	[5114]	590	59
106	[4613]	590	59
107	[2054]	589	59
108	[346]	589	59
109	[1640]	589	59
110	[5460]	589	59
111	[125]	587	59
112	[3360]	587	59
113	[177]	586	59
114	[573]	586	59
115	[548]	586	59
116	[4334]	585	59
117	[5907]	585	59
118	[4967]	585	59
119	[303]	584	58
120	[4103]	584	58
121	[175]	582	58
122	[3005]	582	58
123	[2046]	582	58
124	[1619]	582	58
125	[1137]	582	58
126	[2175]	582	58
127	[2996]	581	58
128	[4242]	580	58
129	[231]	580	58
130	[5813]	579	58
131	[1261]	579	58
132	[1987]	579	58
133	[5166]	577	57
134	[461]	576	57
135	[1477]	576	57
136	[686]	576	57
137	[1099]	576	57
138	[4488]	575	57
139	[2522]	575	57
140	[2147]	575	57
141	[85]	575	57
142	[319]	575	57
143	[365]	574	57
144	[4451]	573	57
145	[4256]	573	57
146	[1712]	573	57
147	[228]	573	57
148	[3357]	572	57
149	[494]	571	57
150	[1481]	569	56
151	[4264]	569	56
152	[1768]	569	56
153	[1559]	569	56
154	[70]	568	56
155	[6025]	568	56
156	[1143]	566	56
157	[78]	566	56
158	[2771]	566	56
159	[3539]	566	56
160	[3245]	565	56
161	[987]	565	56
162	[2064]	564	56
163	[2783]	564	56
164	[1684]	564	56
165	[5891]	564	56
166	[45]	564	56
167	[858]	562	55
168	[904]	562	55
169	[639]	562	55
170	[4241]	562	55
171	[1746]	562	55
172	[3478]	561	55
173	[4028]	561	55
174	[2445]	561	55
175	[5326]	560	55
176	[2393]	560	55
177	[1306]	559	55
178	[329]	557	55
179	[364]	557	55
180	[3098]	557	55
181	[5663]	557	55
182	[4469]	557	55
183	[3310]	557	55
184	[1676]	557	55
185	[4253]	556	54
186	[1124]	556	54
187	[2648]	556	54
188	[4085]	556	54
189	[1023]	555	54
190	[2883]	555	54
191	[1011]	555	54
192	[379]	555	54
193	[4362]	554	54
194	[3339]	554	54
195	[5448]	553	54
196	[4039]	553	54
197	[2439]	552	54
198	[321]	552	54
199	[3536]	552	54
200	[3504]	551	54
201	[5437]	551	54
202	[5618]	551	54
203	[525]	550	54
204	[2881]	550	54
205	[2846]	550	54
206	[2067]	550	54
207	[1511]	549	53
208	[3534]	548	53
209	[999]	548	53
210	[1710]	548	53
211	[3039]	548	53
212	[1089]	547	53
213	[2468]	547	53
214	[263]	546	53
215	[1257]	546	53
216	[1540]	546	53
217	[4146]	546	53
218	[57]	546	53
219	[4525]	545	53
220	[5878]	545	53
221	[834]	545	53
222	[1391]	544	53
223	[191]	544	53
224	[2655]	544	53
225	[272]	543	53
226	[5016]	543	53
227	[2474]	542	52
228	[74]	542	52
229	[1986]	542	52
230	[5914]	541	52
231	[5913]	541	52
232	[3234]	541	52
233	[3481]	541	52
234	[4384]	540	52
235	[180]	540	52
236	[1250]	539	52
237	[1318]	538	52
238	[384]	538	52
239	[6153]	538	52
240	[4063]	538	52
241	[1764]	537	52
242	[401]	537	52
243	[3352]	537	52
244	[1262]	537	52
245	[4550]	537	52
246	[5167]	536	52
247	[1983]	536	52
248	[3637]	536	52
249	[6167]	535	51
250	[503]	535	51
251	[207]	534	51
252	[5048]	534	51
253	[4468]	533	51
254	[295]	532	51
255	[3574]	532	51
256	[1675]	532	51
257	[3970]	532	51
258	[2438]	532	51
259	[4330]	532	51
260	[4131]	531	51
261	[2586]	531	51
262	[1796]	531	51
263	[5933]	531	51
264	[5712]	531	51
265	[3932]	531	51
266	[3452]	530	51
267	[2337]	530	51
268	[5254]	530	51
269	[111]	530	51
270	[3604]	529	51
271	[4499]	529	51
272	[1310]	529	51
273	[5832]	527	50
274	[6144]	527	50
275	[2081]	526	50
276	[2486]	526	50
277	[233]	526	50
278	[1756]	526	50
279	[3419]	526	50
280	[3166]	526	50
281	[4377]	526	50
282	[4920]	525	50
283	[2990]	525	50
284	[6086]	525	50
285	[2502]	525	50
286	[5872]	525	50
287	[3546]	524	50
288	[1533]	523	50
289	[1065]	523	50
290	[5039]	522	50
291	[6166]	521	50
292	[5842]	521	50
293	[4216]	521	50
294	[5518]	520	49
295	[193]	520	49
296	[1126]	520	49
297	[2974]	519	49
298	[870]	519	49
299	[5279]	519	49
300	[1769]	518	49
301	[5450]	518	49
302	[5472]	518	49
303	[3147]	518	49
304	[123]	518	49
305	[4180]	518	49
306	[5851]	517	49
307	[4276]	517	49
308	[4911]	517	49
309	[5124]	516	49
310	[1902]	516	49
311	[3770]	516	49
312	[5801]	516	49
313	[5401]	516	49
314	[1258]	516	49
315	[1836]	515	49
316	[4122]	515	49
317	[333]	515	49
318	[3602]	515	49
319	[5980]	515	49
320	[6171]	514	49
321	[3128]	514	49
322	[5030]	513	48
323	[4519]	513	48
324	[5098]	513	48
325	[341]	513	48
326	[1339]	512	48
327	[1086]	512	48
328	[2638]	512	48
329	[423]	512	48
330	[1296]	511	48
331	[4159]	511	48
332	[1625]	511	48
333	[6035]	510	48
334	[5677]	510	48
335	[5854]	510	48
336	[4290]	509	48
337	[5726]	507	48
338	[2761]	507	48
339	[4183]	507	48
340	[5830]	507	48
341	[1775]	507	48
342	[5926]	507	48
343	[2987]	506	47
344	[1153]	506	47
345	[5624]	506	47
346	[141]	506	47
347	[3824]	506	47
348	[2978]	506	47
349	[5996]	505	47
350	[4010]	504	47
351	[3847]	504	47
352	[5199]	503	47
353	[2194]	503	47
354	[2980]	502	47
355	[1311]	502	47
356	[4930]	502	47
357	[812]	501	47
358	[597]	501	47
359	[5818]	501	47
360	[4534]	500	47
361	[2634]	500	47
362	[5505]	500	47
363	[5885]	499	46
364	[746]	499	46
365	[4646]	497	46
366	[6219]	497	46
367	[3688]	497	46
368	[1648]	497	46
369	[2619]	497	46
370	[5910]	496	46
371	[4547]	496	46
372	[836]	496	46
373	[3397]	496	46
374	[6221]	496	46
375	[135]	496	46
376	[6012]	495	46
377	[2642]	495	46
378	[1730]	495	46
379	[4060]	494	46
380	[107]	494	46
381	[4590]	494	46
382	[279]	494	46
383	[4135]	493	46
384	[5837]	493	46
385	[2415]	493	46
386	[5811]	493	46
387	[103]	493	46
388	[3853]	492	45
389	[2341]	492	45
390	[4945]	492	45
391	[4405]	491	45
392	[60]	490	45
393	[4905]	490	45
394	[6193]	490	45
395	[1510]	490	45
396	[1701]	489	45
397	[5900]	489	45
398	[5686]	489	45
