last update: Sat Apr 30 2016 05:08:52 GMT+0800 (HKT)

order	team	score	std
0	[1241]	875	100
1	[973]	855	97
2	[67]	825	93
3	[2451]	785	87
4	[195]	754	83
5	[1519]	752	82
6	[230]	741	81
7	[254]	741	81
8	[27]	738	80
9	[3620]	737	80
10	[133]	729	79
11	[118]	728	79
12	[2823]	720	78
13	[5172]	711	77
14	[148]	702	75
15	[971]	699	75
16	[16]	688	73
17	[179]	683	73
18	[225]	682	72
19	[4003]	675	71
20	[166]	673	71
21	[1024]	670	71
22	[2035]	668	70
23	[1690]	667	70
24	[1806]	666	70
25	[217]	663	70
26	[2056]	662	70
27	[610]	661	69
28	[3641]	657	69
29	[1425]	656	69
30	[868]	650	68
31	[5546]	650	68
32	[294]	648	68
33	[360]	646	67
34	[2767]	645	67
35	[1736]	645	67
36	[1731]	644	67
37	[708]	644	67
38	[1918]	642	67
39	[1678]	642	67
40	[4678]	640	66
41	[359]	639	66
42	[694]	639	66
43	[48]	639	66
44	[2052]	637	66
45	[2122]	633	65
46	[4564]	632	65
47	[4561]	631	65
48	[3314]	626	64
49	[3683]	625	64
50	[2485]	624	64
51	[3538]	624	64
52	[1418]	623	64
53	[2834]	623	64
54	[122]	622	64
55	[3990]	620	64
56	[2471]	618	63
57	[558]	618	63
58	[330]	616	63
59	[2403]	616	63
60	[3238]	616	63
61	[1538]	615	63
62	[1323]	614	63
63	[1885]	614	63
64	[5150]	614	63
65	[126]	613	63
66	[1718]	613	63
67	[1114]	612	62
68	[1305]	611	62
69	[2557]	611	62
70	[3044]	610	62
71	[876]	610	62
72	[5895]	610	62
73	[25]	609	62
74	[2637]	608	62
75	[20]	608	62
76	[33]	608	62
77	[1747]	607	62
78	[3284]	606	62
79	[3476]	605	61
80	[3130]	605	61
81	[2590]	605	61
82	[842]	605	61
83	[4587]	604	61
84	[2137]	603	61
85	[2481]	602	61
86	[3663]	601	61
87	[910]	600	61
88	[4391]	599	61
89	[5406]	598	60
90	[869]	597	60
91	[2013]	597	60
92	[41]	596	60
93	[2614]	595	60
94	[3309]	595	60
95	[3937]	595	60
96	[229]	594	60
97	[3618]	594	60
98	[1058]	594	60
99	[172]	593	60
100	[1501]	593	60
101	[5499]	593	60
102	[245]	593	60
103	[70]	592	60
104	[176]	591	59
105	[4001]	590	59
106	[5114]	590	59
107	[4613]	590	59
108	[2054]	589	59
109	[5460]	589	59
110	[346]	589	59
111	[3360]	587	59
112	[125]	587	59
113	[573]	586	59
114	[548]	586	59
115	[177]	586	59
116	[4334]	585	59
117	[4967]	585	59
118	[5907]	585	59
119	[4103]	584	58
120	[303]	584	58
121	[2046]	582	58
122	[2175]	582	58
123	[175]	582	58
124	[3005]	582	58
125	[1619]	582	58
126	[2996]	581	58
127	[4242]	580	58
128	[231]	580	58
129	[1987]	579	58
130	[5813]	579	58
131	[1261]	579	58
132	[5166]	577	57
133	[2502]	576	57
134	[461]	576	57
135	[1099]	576	57
136	[686]	576	57
137	[319]	575	57
138	[2522]	575	57
139	[4488]	575	57
140	[85]	575	57
141	[2147]	575	57
142	[365]	574	57
143	[4256]	573	57
144	[228]	573	57
145	[1712]	573	57
146	[4451]	573	57
147	[3357]	572	57
148	[494]	571	57
149	[1640]	571	57
150	[1768]	569	56
151	[1559]	569	56
152	[1481]	569	56
153	[364]	569	56
154	[4264]	569	56
155	[6025]	568	56
156	[78]	566	56
157	[2771]	566	56
158	[3539]	566	56
159	[1143]	566	56
160	[3245]	565	56
161	[987]	565	56
162	[4063]	565	56
163	[45]	564	56
164	[2064]	564	56
165	[5891]	564	56
166	[1684]	564	56
167	[2783]	564	56
168	[639]	562	55
169	[858]	562	55
170	[4241]	562	55
171	[904]	562	55
172	[1746]	562	55
173	[1318]	562	55
174	[2445]	561	55
175	[3478]	561	55
176	[4028]	561	55
177	[1137]	560	55
178	[5326]	560	55
179	[2393]	560	55
180	[1306]	559	55
181	[1477]	558	55
182	[329]	557	55
183	[5663]	557	55
184	[1676]	557	55
185	[4469]	557	55
186	[3098]	557	55
187	[3310]	557	55
188	[2648]	556	54
189	[4085]	556	54
190	[4253]	556	54
191	[1124]	556	54
192	[1023]	555	54
193	[2883]	555	54
194	[1011]	555	54
195	[379]	555	54
196	[3339]	554	54
197	[4039]	553	54
198	[5448]	553	54
199	[3536]	552	54
200	[321]	552	54
201	[2439]	552	54
202	[5618]	551	54
203	[3504]	551	54
204	[5437]	551	54
205	[2846]	550	54
206	[2881]	550	54
207	[2067]	550	54
208	[525]	550	54
209	[1511]	549	53
210	[3534]	548	53
211	[999]	548	53
212	[3039]	548	53
213	[1710]	548	53
214	[1089]	547	53
215	[2468]	547	53
216	[4146]	546	53
217	[263]	546	53
218	[1540]	546	53
219	[57]	546	53
220	[4525]	545	53
221	[5878]	545	53
222	[834]	545	53
223	[2655]	544	53
224	[191]	544	53
225	[1391]	544	53
226	[272]	543	53
227	[5016]	543	53
228	[2474]	542	52
229	[74]	542	52
230	[3481]	541	52
231	[3234]	541	52
232	[5914]	541	52
233	[5913]	541	52
234	[180]	540	52
235	[1250]	539	52
236	[6153]	538	52
237	[3352]	537	52
238	[1764]	537	52
239	[401]	537	52
240	[4550]	537	52
241	[5167]	536	52
242	[3637]	536	52
243	[1983]	536	52
244	[6167]	535	51
245	[503]	535	51
246	[5048]	534	51
247	[207]	534	51
248	[1986]	534	51
249	[4468]	533	51
250	[3574]	532	51
251	[295]	532	51
252	[4330]	532	51
253	[2438]	532	51
254	[1675]	532	51
255	[3970]	532	51
256	[5933]	531	51
257	[1796]	531	51
258	[3932]	531	51
259	[2586]	531	51
260	[4131]	531	51
261	[5712]	531	51
262	[3452]	530	51
263	[2337]	530	51
264	[5254]	530	51
265	[111]	530	51
266	[1262]	529	51
267	[4499]	529	51
268	[3604]	529	51
269	[1310]	529	51
270	[1257]	528	50
271	[6144]	527	50
272	[5832]	527	50
273	[2081]	526	50
274	[3419]	526	50
275	[2486]	526	50
276	[3166]	526	50
277	[233]	526	50
278	[4377]	526	50
279	[1756]	526	50
280	[5872]	525	50
281	[2990]	525	50
282	[4920]	525	50
283	[6086]	525	50
284	[3546]	524	50
285	[1065]	523	50
286	[1533]	523	50
287	[5039]	522	50
288	[4216]	521	50
289	[4122]	521	50
290	[5842]	521	50
291	[6166]	521	50
292	[4362]	521	50
293	[4384]	520	49
294	[1126]	520	49
295	[193]	520	49
296	[5279]	519	49
297	[2974]	519	49
298	[870]	519	49
299	[3147]	518	49
300	[4180]	518	49
301	[5450]	518	49
302	[123]	518	49
303	[1769]	518	49
304	[5851]	517	49
305	[4911]	517	49
306	[4276]	517	49
307	[3770]	516	49
308	[5124]	516	49
309	[1902]	516	49
310	[5801]	516	49
311	[1258]	516	49
312	[5401]	516	49
313	[1836]	515	49
314	[5980]	515	49
315	[3602]	515	49
316	[333]	515	49
317	[3128]	514	49
318	[6171]	514	49
319	[4519]	513	48
320	[5030]	513	48
321	[5098]	513	48
322	[341]	513	48
323	[2638]	512	48
324	[1339]	512	48
325	[1086]	512	48
326	[423]	512	48
327	[4159]	511	48
328	[1296]	511	48
329	[1625]	511	48
330	[5677]	510	48
331	[5854]	510	48
332	[6035]	510	48
333	[5816]	510	48
334	[4290]	509	48
335	[2761]	507	48
336	[5926]	507	48
337	[5726]	507	48
338	[5830]	507	48
339	[2978]	506	47
340	[141]	506	47
341	[5624]	506	47
342	[1153]	506	47
343	[2987]	506	47
344	[5518]	505	47
345	[5996]	505	47
346	[5811]	505	47
347	[4010]	504	47
348	[3847]	504	47
349	[5199]	503	47
350	[2194]	503	47
351	[5505]	503	47
352	[2980]	502	47
353	[1311]	502	47
354	[4930]	502	47
355	[5818]	501	47
356	[597]	501	47
357	[812]	501	47
358	[5472]	500	47
359	[2634]	500	47
360	[4534]	500	47
361	[5885]	499	46
362	[746]	499	46
363	[384]	498	46
364	[2619]	497	46
365	[6219]	497	46
366	[1648]	497	46
367	[4646]	497	46
368	[3688]	497	46
369	[6221]	496	46
370	[3397]	496	46
371	[135]	496	46
372	[5910]	496	46
373	[4547]	496	46
374	[836]	496	46
375	[6012]	495	46
376	[2642]	495	46
377	[1730]	495	46
378	[279]	494	46
379	[4060]	494	46
380	[4590]	494	46
381	[3824]	494	46
382	[107]	494	46
383	[103]	493	46
384	[5837]	493	46
385	[4135]	493	46
386	[4945]	492	45
387	[3853]	492	45
388	[2341]	492	45
389	[4405]	491	45
390	[2415]	491	45
391	[4905]	490	45
392	[1510]	490	45
393	[6193]	490	45
394	[5686]	489	45
395	[5900]	489	45
396	[1701]	489	45
397	[1662]	489	45
398	[3324]	488	45
